id,sku,marca,link_anterior,link_oferta,titulo,precio_anterior,precio_en_oferta,categoria
133153,7791293022635,Farmacias Central Oeste,https://www.centraloeste.com.ar/rexona-antitranspirante-x-90grs-hombre-invisible.html?utm_source=site_cace&utm_medium=referral&utm_campaign=bin_megaofertahotsale2021&utm_content=cace,https://www.centraloeste.com.ar/rexona-antitranspirante-x-90grs-hombre-invisible.html?utm_source=site_cace&utm_medium=referral&utm_campaign=bin_megaofertahotsale2021&utm_content=cace,Antitranspirante Rexona M Invisible x90gr,170,102,Alimentos y Bebidas
133155,7500435157087,Farmacias Central Oeste,https://www.centraloeste.com.ar/7500435157087-ariel-jabon-liquido-x800ml-pouch-delicates.html?utm_source=site_cace&utm_medium=referral&utm_campaign=bin_megaofertahotsale2021&utm_content=cace,https://www.centraloeste.com.ar/7500435157087-ariel-jabon-liquido-x800ml-pouch-delicates.html?utm_source=site_cace&utm_medium=referral&utm_campaign=bin_megaofertahotsale2021&utm_content=cace,Jabón Liquido Ariel Pouch Delicates x800ml,220,132,Alimentos y Bebidas
133157,7790250044529,Farmacias Central Oeste,https://www.centraloeste.com.ar/pa-ales-babysec-ultra-sec-hiper-extra-extra-grande-x30un.html?utm_source=site_cace&utm_medium=referral&utm_campaign=bin_megaofertahotsale2021&utm_content=cace,https://www.centraloeste.com.ar/pa-ales-babysec-ultra-sec-hiper-extra-extra-grande-x30un.html?utm_source=site_cace&utm_medium=referral&utm_campaign=bin_megaofertahotsale2021&utm_content=cace,Pañales Babysec Ultra Sec Hiper Talle XXG x30un,660,396,Bebés y Niños
133178,7790900003227,Farmacias Central Oeste,https://www.centraloeste.com.ar/7790900003227-iberia-mopa-centrifuga-turbo-matic.html?utm_source=site_cace&utm_medium=referral&utm_campaign=bin_megaofertahotsale2021&utm_content=cace,https://www.centraloeste.com.ar/7790900003227-iberia-mopa-centrifuga-turbo-matic.html?utm_source=site_cace&utm_medium=referral&utm_campaign=bin_megaofertahotsale2021&utm_content=cace,Iberia Mopa Turbo Matic Con Sistema de Enjuague y Escurrido,5715,3429,Alimentos y Bebidas
133180,7798034748533,Farmacias Central Oeste,https://www.centraloeste.com.ar/7798034748533-cepillo-dental-greendent-bamboo-para-adultos.html?utm_source=site_cace&utm_medium=referral&utm_campaign=bin_megaofertahotsale2021&utm_content=cace,https://www.centraloeste.com.ar/7798034748533-cepillo-dental-greendent-bamboo-para-adultos.html?utm_source=site_cace&utm_medium=referral&utm_campaign=bin_megaofertahotsale2021&utm_content=cace,Cepillo Dental GREENDENT Bamboo Para Adultos,280,168,Cosmética y Belleza
133181,7790375268954,Farmacias Central Oeste,https://www.centraloeste.com.ar/7790375268954-crema-corporal-bagovit-efecto-luminoso-x200ml.html?utm_source=site_cace&utm_medium=referral&utm_campaign=bin_megaofertahotsale2021&utm_content=cace,https://www.centraloeste.com.ar/7790375268954-crema-corporal-bagovit-efecto-luminoso-x200ml.html?utm_source=site_cace&utm_medium=referral&utm_campaign=bin_megaofertahotsale2021&utm_content=cace,Crema Corporal Bagovit Efecto Luminoso x200ml,870,522,Cosmética y Belleza
133182,7790375268350,Farmacias Central Oeste,https://www.centraloeste.com.ar/7790375268350-bagovit-crema-facial-30g-pro-lifting-serum.html?utm_source=site_cace&utm_medium=referral&utm_campaign=bin_megaofertahotsale2021&utm_content=cace,https://www.centraloeste.com.ar/7790375268350-bagovit-crema-facial-30g-pro-lifting-serum.html?utm_source=site_cace&utm_medium=referral&utm_campaign=bin_megaofertahotsale2021&utm_content=cace,Crema Facial Bagovit Pro Lifting Serum x30gr,2020,1212,Cosmética y Belleza
133184,7798140259893,Farmacias Central Oeste,https://www.centraloeste.com.ar/7798140259893-tio-nacho-shampoo-x415ml-antidano-con-aloe-vera.html?utm_source=site_cace&utm_medium=referral&utm_campaign=bin_megaofertahotsale2021&utm_content=cace,https://www.centraloeste.com.ar/7798140259893-tio-nacho-shampoo-x415ml-antidano-con-aloe-vera.html?utm_source=site_cace&utm_medium=referral&utm_campaign=bin_megaofertahotsale2021&utm_content=cace,Shampoo Tio Nacho Antidaño Con Aloe Vera x415ml,500,300,Alimentos y Bebidas
133185,7794626010026,Farmacias Central Oeste,https://www.centraloeste.com.ar/7794626010026-panales-huggies-supreme-care-maxi-grande-x20un.html?utm_source=site_cace&utm_medium=referral&utm_campaign=bin_megaofertahotsale2021&utm_content=cace,https://www.centraloeste.com.ar/7794626010026-panales-huggies-supreme-care-maxi-grande-x20un.html?utm_source=site_cace&utm_medium=referral&utm_campaign=bin_megaofertahotsale2021&utm_content=cace,Pañales Huggies Supreme Care Maxi Talle G x20un,1150,690,Bebés y Niños
133189,4005800178368,Farmacias Central Oeste,https://www.centraloeste.com.ar/eucerin-locion-facial-x-250ml-ph5.html?utm_source=site_cace&utm_medium=referral&utm_campaign=bin_megaofertahotsale2021&utm_content=cace,https://www.centraloeste.com.ar/eucerin-locion-facial-x-250ml-ph5.html?utm_source=site_cace&utm_medium=referral&utm_campaign=bin_megaofertahotsale2021&utm_content=cace,Locion Corporal Eucerin Ph5 x250ml,1825,1095,Cosmética y Belleza
133191,7790033206489,Farmacias Central Oeste,https://www.centraloeste.com.ar/maybelline-delineador-de-ojos-expert-01-negro.html?utm_source=site_cace&utm_medium=referral&utm_campaign=bin_megaofertahotsale2021&utm_content=cace,https://www.centraloeste.com.ar/maybelline-delineador-de-ojos-expert-01-negro.html?utm_source=site_cace&utm_medium=referral&utm_campaign=bin_megaofertahotsale2021&utm_content=cace,Delineador De Ojos Maybelline Expert 01 Negro,576,"345,6",Cosmética y Belleza
133192,3600531571726,Farmacias Central Oeste,https://www.centraloeste.com.ar/3600531571726-maybelline-delineador-de-ojos-liquido-tatto-710.html?utm_source=site_cace&utm_medium=referral&utm_campaign=bin_megaofertahotsale2021&utm_content=cace,https://www.centraloeste.com.ar/3600531571726-maybelline-delineador-de-ojos-liquido-tatto-710.html?utm_source=site_cace&utm_medium=referral&utm_campaign=bin_megaofertahotsale2021&utm_content=cace,Delineador De Ojos Maybelline Liquido Tattoo 710,1053,"631,8",Cosmética y Belleza
133193,3600531604752,Farmacias Central Oeste,https://www.centraloeste.com.ar/3600531604752-maybelline-mascara-de-pestaas-falsies-lash-lift-wp-black.html?utm_source=site_cace&utm_medium=referral&utm_campaign=bin_megaofertahotsale2021&utm_content=cace,https://www.centraloeste.com.ar/3600531604752-maybelline-mascara-de-pestaas-falsies-lash-lift-wp-black.html?utm_source=site_cace&utm_medium=referral&utm_campaign=bin_megaofertahotsale2021&utm_content=cace,Máscara De Pestañas Maybelline Falsies Lash Lift WP Black,1275,765,Cosmética y Belleza
133194,30108493,Farmacias Central Oeste,https://www.centraloeste.com.ar/maybelline-mascara-de-pestanas-colossal-go-extreme-wp.html?utm_source=site_cace&utm_medium=referral&utm_campaign=bin_megaofertahotsale2021&utm_content=cace,https://www.centraloeste.com.ar/maybelline-mascara-de-pestanas-colossal-go-extreme-wp.html?utm_source=site_cace&utm_medium=referral&utm_campaign=bin_megaofertahotsale2021&utm_content=cace,Máscara De Pestañas Maybelline Volumen Express Colossal WP,890,534,Cosmética y Belleza
133195,3600531507268,Farmacias Central Oeste,https://www.centraloeste.com.ar/3600531507268-maybelline-mascara-volume-express-the-falsies.html?utm_source=site_cace&utm_medium=referral&utm_campaign=bin_megaofertahotsale2021&utm_content=cace,https://www.centraloeste.com.ar/3600531507268-maybelline-mascara-volume-express-the-falsies.html?utm_source=site_cace&utm_medium=referral&utm_campaign=bin_megaofertahotsale2021&utm_content=cace,Máscara De Pestañas Maybelline Volumen Express The Falsies,890,534,Cosmética y Belleza
133196,3337875543248,Farmacias Central Oeste,https://www.centraloeste.com.ar/vichy-hidratante-facial-x-50ml-mineral-89.html?utm_source=site_cace&utm_medium=referral&utm_campaign=bin_megaofertahotsale2021&utm_content=cace,https://www.centraloeste.com.ar/vichy-hidratante-facial-x-50ml-mineral-89.html?utm_source=site_cace&utm_medium=referral&utm_campaign=bin_megaofertahotsale2021&utm_content=cace,Fortificante Reconstituyente Vichy Mineral 89 x50ml,3350,2010,Cosmética y Belleza
133200,309971335075,Farmacias Central Oeste,https://www.centraloeste.com.ar/309971335075-revlon-base-maquillaje-colorstay-full-cover-240-medium-beige.html?utm_source=site_cace&utm_medium=referral&utm_campaign=bin_megaofertahotsale2021&utm_content=cace,https://www.centraloeste.com.ar/309971335075-revlon-base-maquillaje-colorstay-full-cover-240-medium-beige.html?utm_source=site_cace&utm_medium=referral&utm_campaign=bin_megaofertahotsale2021&utm_content=cace,Base Maquillaje Revlon Color Stay Full Cover 240 Medium Beige,1100,660,Cosmética y Belleza
133201,309976790015,Farmacias Central Oeste,https://www.centraloeste.com.ar/309976790015-revlon-delineador-de-ojos-automatico-01-black.html?utm_source=site_cace&utm_medium=referral&utm_campaign=bin_megaofertahotsale2021&utm_content=cace,https://www.centraloeste.com.ar/309976790015-revlon-delineador-de-ojos-automatico-01-black.html?utm_source=site_cace&utm_medium=referral&utm_campaign=bin_megaofertahotsale2021&utm_content=cace,Revlon Delineador De Ojos Automatico 01 Black,950,570,Cosmética y Belleza
133202,309972273222,Farmacias Central Oeste,https://www.centraloeste.com.ar/309972273222-revlon-esmalte-22-gray-suede.html?utm_source=site_cace&utm_medium=referral&utm_campaign=bin_megaofertahotsale2021&utm_content=cace,https://www.centraloeste.com.ar/309972273222-revlon-esmalte-22-gray-suede.html?utm_source=site_cace&utm_medium=referral&utm_campaign=bin_megaofertahotsale2021&utm_content=cace,Esmalte Revlon 22 Gray Suede,550,330,Cosmética y Belleza
133203,309978743033,Farmacias Central Oeste,https://www.centraloeste.com.ar/309978743033-revlon-esmalte-273-passionate.html?utm_source=site_cace&utm_medium=referral&utm_campaign=bin_megaofertahotsale2021&utm_content=cace,https://www.centraloeste.com.ar/309978743033-revlon-esmalte-273-passionate.html?utm_source=site_cace&utm_medium=referral&utm_campaign=bin_megaofertahotsale2021&utm_content=cace,Esmalte Revlon 273 Passionate,550,330,Cosmética y Belleza
133204,309978161127,Farmacias Central Oeste,https://www.centraloeste.com.ar/309978161127-revlon-lapiz-labial-ultra-hd-matte-addiction.html?utm_source=site_cace&utm_medium=referral&utm_campaign=bin_megaofertahotsale2021&utm_content=cace,https://www.centraloeste.com.ar/309978161127-revlon-lapiz-labial-ultra-hd-matte-addiction.html?utm_source=site_cace&utm_medium=referral&utm_campaign=bin_megaofertahotsale2021&utm_content=cace,Lápiz Labial Revlon Ultra Hd Liquido Matte Addiction,1100,660,Cosmética y Belleza
133205,8023277130692,Farmacias Central Oeste,https://www.centraloeste.com.ar/gama-planchita-elegance-bella-led.html?utm_source=site_cace&utm_medium=referral&utm_campaign=bin_megaofertahotsale2021&utm_content=cace,https://www.centraloeste.com.ar/gama-planchita-elegance-bella-led.html?utm_source=site_cace&utm_medium=referral&utm_campaign=bin_megaofertahotsale2021&utm_content=cace,Gama Planchita Elegance Bella Led,5739,"3443,4",Electro y Tecno
133206,4005900490452,Farmacias Central Oeste,https://www.centraloeste.com.ar/eucerin-crema-facial-x-50ml-a-edad-volum-filler-pn.html?utm_source=site_cace&utm_medium=referral&utm_campaign=bin_megaofertahotsale2021&utm_content=cace,https://www.centraloeste.com.ar/eucerin-crema-facial-x-50ml-a-edad-volum-filler-pn.html?utm_source=site_cace&utm_medium=referral&utm_campaign=bin_megaofertahotsale2021&utm_content=cace,Crema Anti-Arrugas Eucerin Hyaluron Volume Dia Pnm x50ml,4442,"2665,2",Cosmética y Belleza
